day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 4,1814 kcal,77 g,224.5 g,70.9 g,38 g,Chana Soyabean Bhaji | Ragi Dosa,Tomato cucumber raita | Green salad | Soya chunk pulao,Multi grain roti | Carrot cucumber salad | Paneer Burji,Cashew Nuts | Pomegranate,Epigamia plain yoghurt | Muskmelon,Carrot beetroot juice | Almonds | Chia seeds,Roasted peanuts | Buttermilk,1 Katori | 2 Dosa,1 katori | 1 katori | 2 katori,2 roti | 1 katori | 1.5 Small,4 Piece | 1 cup,1 pack | 1 cup,1 glass | 6 almond | 1 tbsp,0.5 serving | 1 glass,141 | 204,51 | 60 | 296,164 | 21 | 313.5,32 | 144,69 | ,72 | 42 | 47,85.5 | 45,11.5 | 43.2,5.5 | 2.8 | 47.2,31.8 | 4.9 | 4.8,1.2 | 32.5,5.6 | 27,15.7 | 1.8 | 4.1,4 | 2.3,8.3 | 4.4,2.5 | 1.4 | 12.4,6.2 | 0.7 | 17.55,1.2 | 2.9,7.2 | 5.6,2.1 | 1.8 | 1.6,3.95 | 2.3,7.2 | 1.4,2.4 | 4.8 | 6,1.4 | 0.1 | 24.9,2.8 | 2,2 | 0.5,0 | 3.6 | 3,6 | 3,2.4 | 4.4,1.1 | 1.7 | 4.8,6 | 1.1 | 1.05,0 | 7,0 | 0.3,1 | 1.2 | 3.3,1.65 | 0,Weight Loss,South Indian,Thyroid,Non Veg,1800
Day 1,1897.5 kcal,75.85 g,333.25 g,31.3 g,57.6 g,Peas poha,Daal | Carrot tomato salad | Wheat Roti | Matki Bhaji,Daal | Gobi matar sabzi | Wheat Roti | Brown rice,Granola bar,Moong beans boiled,Almonds | Pear,Roasted chana,1.5 katori,1 bowl | 1 katori | 3 roti | 1.5 Katori,1 bowl | 1 katori | 1 roti | 1 katori,1 bar,2 katori,4 almond | 1 piece,1 katori,210,116 | 27 | 255 | 127.5,116 | 82 | 85 | 109,119,276,28 | ,270,41.85,18.7 | 5.4 | 52.2 | 20.7,18.7 | 7 | 17.4 | 22.8,16.9,46.8,1.2 | 77,46,4.5,7.2 | 0.9 | 9 | 5.55,7.2 | 2.7 | 3 | 2.4,1.9,19.8,1.2 | 17.6,9.6,3,1.4 | 0.2 | 1.2 | 3.9,1.4 | 5 | 0.4 | 0.9,4.9,1,2.4 | 0.9,5.3,1.65,3.1 | 2.5 | 8.1 | 1.65,3.1 | 3.4 | 2.7 | 1,2.2,13.8,0.8 | 0.3,7.2,Weight Loss,Maharashtrian,Cholesterol,Veg,1900
Day 2,1864.5 kcal,70.9 g,259.55 g,72.95 g,47.05 g,Upma,Paneer Pulao | Tomato cucumber raita,Chana palak curry | Carrot cucumber salad | Mix daal | Nachni Bhakri,Masala oats,Sprouts | Pear,Pomegranate | Epigamia plain yoghurt | walnuts,Peanut butter with whole wheat bread,1.5 katori,2 Katori | 1 katori,1 katori | 1 katori | 1 katori | 2 Piece,1 katori,2 Katori | 1 piece,1 cup | 1 pack | 6 piece,2 slice,256.5,272 | 51,129 | 21 | 149 | 250,80,48 | ,144 | 69 | 84,234,36.45,39 | 5.5,17.2 | 4.9 | 22.4 | 28.8,12.8,9.6 | 77,32.5 | 5.6 | 1.2,26,6.6,13.8 | 2.5,4.9 | 0.7 | 8.7 | 3,2.3,4.8 | 17.6,2.9 | 7.2 | 1.8,10.8,9.45,13.8 | 2.4,4.8 | 0.1 | 2.9 | 13.8,2.2,0.4 | 0.9,2 | 2 | 8.4,10.4,3.75,0.6 | 1.1,4.9 | 1.1 | 6 | 4.8,2.4,2.8 | 0.3,7 | 0 | 1.2,5,Weight Loss,Maharashtrian,Cholesterol,Veg,1900
Day 3,1886.5 kcal,76.55 g,214 g,82.7 g,41.1 g,Brinjal sambhar | Tomato peanut chutney | Rava idli,Baigan Sabzi | Grilled paneer | Wheat Roti,Wheat Roti | Palak paneer,Apple | Cashew Nuts,Boiled soyabean,Carrot beetroot juice | Soaked and peeled almonds,Puffed Rice Chivda,1 katori | 2 tbsp | 2 rava,1.5 Katori | 1 serving | 3 roti,2 roti | 1 Small,1 piece | 4 Piece,0.5 cup,1 glass | 4 almond,1 Katori,117 | 30 | 168,172.5 | 287 | 255,170 | 177,32,148,72 | 32,138,15.9 | 1.8 | 27.2,9.9 | 1.8 | 52.2,34.8 | 6.1,88 | 1.2,7.2,15.7 | 0.4,19.8,5.5 | 1 | 5.2,3.3 | 16.9 | 9,6 | 6,20 | 1.2,15.65,2.1 | 1.2,3.2,3.5 | 2.4 | 4.4,13.2 | 23.7 | 1.2,0.8 | 14.3,0.3 | 2.8,7.7,0 | 2.8,5.1,3.2 | 0.8 | 2.2,4.65 | 0.5 | 8.1,5.4 | 2.1,0.8 | 0,5.15,1 | 0.8,2.4,Weight Loss,Maharashtrian,Cholesterol,Veg,1900
Day 4,1891 kcal,69.2 g,257.1 g,67.65 g,42.15 g,Methi paneer paratha | Dahi,Bhindi Sabzi | Mix daal | Carrot tomato salad | Wheat Roti | Brown rice,Veg Tofu Fried Rice | Green salad,Fresh fruit salad,Moong beans boiled,Coconut water | walnuts | Almonds,Murmura chana peanuts bhel,2 pieces | 1 katori,1 Katori | 1 katori | 1 katori | 2 roti | 1 katori,1.5 Bowl | 1 katori,1 katori,1 katori,1 piece | 6 piece | 6 almond,0.5 katori,276 | 90,68 | 149 | 27 | 170 | 109,457.5 | 60,60,138,49 | 84 | 42,111.5,26.6 | 4.5,7.1 | 22.4 | 5.4 | 34.8 | 22.8,65.7 | 2.8,14,23.4,9.1 | 1.2 | 1.8,15.5,9.2 | 4.7,1.8 | 8.7 | 0.9 | 6 | 2.4,13.2 | 1.4,0.9,9.9,2.9 | 1.8 | 1.8,3.6,15 | 6,3.7 | 2.9 | 0.2 | 0.8 | 0.9,16.2 | 4.8,0.5,0.5,0.2 | 8.4 | 3.6,3.95,4.2 | 0,3.1 | 6 | 2.5 | 5.4 | 1,1.95 | 1.7,3.6,6.9,2.3 | 1.2 | 1.2,1.1,Weight Loss,Maharashtrian,Cholesterol,Veg,1900
Day 1,2390.5 kcal,85 g,353.25 g,72.55 g,69.25 g,Upma,Wheat Roti | Grilled paneer | Carrot tomato salad | Shepu Bhaji,Brown rice | Chana lobia curry | Wheat Roti,Almonds | Muskmelon,Boiled kala chana | Muskmelon,Apple | walnuts | Pear,Roasted chana,2 katori,3 roti | 1 serving | 1 katori | 1 Katori,1 katori | 1.5 katori | 3 roti,6 almond | 1 cup,1 katori | 1 cup,1 piece | 6 piece | 1 piece,1 katori,342,255 | 287 | 27 | 83,109 | 256.5 | 255,42 | ,161 | ,84 | ,270,48.6,52.2 | 1.8 | 5.4 | 8.8,22.8 | 36.45 | 52.2,1.8 | 27,27.2 | 27,88 | 1.2 | 77,46,8.8,9 | 16.9 | 0.9 | 1.5,2.4 | 13.5 | 9,1.8 | 5.6,7.6 | 5.6,20 | 1.8 | 17.6,9.6,12.6,1.2 | 23.7 | 0.2 | 4.9,0.9 | 6.45 | 1.2,3.6 | 0.5,2.4 | 0.5,0.3 | 8.4 | 0.9,5.3,5,8.1 | 0.5 | 2.5 | 1.6,1 | 6.45 | 8.1,1.2 | 0.3,12.6 | 0.3,0.8 | 1.2 | 0.3,7.2,Weight Gain,Maharashtrian,Thyroid,Veg,2400
Day 2,2402 kcal,80.45 g,365.85 g,72.2 g,63.05 g,Peas poha,Methi Bhaji | Carrot tomato salad | Kakadichi Koshimbir | Soya chunk pulao | Nachni Bhakri,Soyabean Curry | Mix daal | Green salad | Wheat Roti,Granola bar | Almonds,Papaya smoothie,Pomegranate | walnuts | Orange,Makhana | Buttermilk,2 katori,1 Katori | 1 katori | 1 Katori | 2 katori | 1 Piece,1 Katori | 1 katori | 1 katori | 3 roti,1 bar | 6 almond,1.5 glass,1 cup | 6 piece | 1 piece,2 katori | 1 glass,280,114 | 27 | 52 | 296 | 125,120 | 149 | 60 | 255,119 | 42,222,144 | 84 | ,222 | 45,55.8,12.1 | 5.4 | 4.4 | 47.2 | 14.4,7.3 | 22.4 | 2.8 | 52.2,16.9 | 1.8,27.45,32.5 | 1.2 | 46,49.2 | 2.3,6,3.8 | 0.9 | 2.4 | 12.4 | 1.5,8.8 | 8.7 | 1.4 | 9,1.9 | 1.8,7.95,2.9 | 1.8 | 10.5,6.2 | 2.3,4,5.7 | 0.2 | 2.9 | 6 | 6.9,6.2 | 2.9 | 4.8 | 1.2,4.9 | 3.6,9.3,2 | 8.4 | 0.7,0 | 3,2.2,4.2 | 2.5 | 0.5 | 4.8 | 2.4,5.3 | 6 | 1.7 | 8.1,2.2 | 1.2,3.45,7 | 1.2 | 0.2,9.2 | 0,Weight Gain,Maharashtrian,Thyroid,Veg,2400
Day 3,2393.5 kcal,81.6 g,286.35 g,104.65 g,53.3 g,Coconut Chutney | Drumstick sambhar | Rava idli,Mix daal | Carrot tomato salad | Gavar sabzi | Nachni Bhakri,Chana Soyabean Bhaji | Capsicum lettuce salad | Dahi | Wheat Roti,Apple smoothie | walnuts,Grilled paneer,Carrot beetroot juice | Soaked and peeled almonds,Vegetable Sandwich,4 Teaspoon | 1.5 katori | 3 rava,1 katori | 1 katori | 1 katori | 3 Piece,1.5 Katori | 1 katori | 1 katori | 3 roti,1 glass | 6 piece,0.5 serving,1 glass | 6 almond,1 Sandwich,68 | 139.5 | 252,149 | 27 | 65 | 375,211.5 | 49 | 90 | 255,145 | 84,143.5,72 | 48,220,2.8 | 16.5 | 40.8,22.4 | 5.4 | 4.7 | 43.2,17.25 | 3.7 | 4.5 | 52.2,22 | 1.2,0.9,15.7 | 0.6,32.5,0.8 | 6.3 | 7.8,8.7 | 0.9 | 2.6 | 4.5,12.45 | 1.1 | 4.7 | 9,3.6 | 1.8,8.45,2.1 | 1.8,5,6 | 5.4 | 6.6,2.9 | 0.2 | 3.8 | 20.7,10.8 | 3.7 | 6 | 1.2,4.9 | 8.4,11.85,0 | 4.2,8,2 | 3.45 | 3.3,6 | 2.5 | 3.6 | 7.2,3.6 | 1.9 | 0 | 8.1,1.6 | 1.2,0.25,1 | 1.2,6.4,Weight Gain,Maharashtrian,Thyroid,Veg,2400
Day 4,2381.5 kcal,86.6 g,330.5 g,82.65 g,74.5 g,Dahi | Besan chilla,Carrot tomato salad | Masooor Bhaji | Bajri Bhakri,Mix daal | Green salad | Wheat Roti | Karela Bhaji,Oatmeal porridge,Sprouts | Apple,Pear | Almonds | walnuts,Puffed Rice Chivda | Buttermilk,1 katori | 3 chilla,1 katori | 1.5 Katori | 3 Piece,1 katori | 1 katori | 3 roti | 1.5 Katori,1 katori,2 Katori | 1 piece,1 piece | 6 almond | 6 piece,1.5 Katori | 1 glass,90 | 324,27 | 283.5 | 339,149 | 60 | 255 | 123,140,48 | ,42 | 84,207 | 45,4.5 | 32.4,5.4 | 37.05 | 63,22.4 | 2.8 | 52.2 | 11.85,16.7,9.6 | 88,77 | 1.8 | 1.2,29.7 | 2.3,4.7 | 12,0.9 | 12.75 | 10.8,8.7 | 1.4 | 9 | 3.45,6.2,4.8 | 20,17.6 | 1.8 | 1.8,4.8 | 2.3,6 | 15.9,0.2 | 9.6 | 4.8,2.9 | 4.8 | 1.2 | 7.2,5.9,0.4 | 0.3,0.9 | 3.6 | 8.4,7.65 | 3,0 | 6.9,2.5 | 8.4 | 10.5,6 | 1.7 | 8.1 | 8.4,2,2.8 | 0.8,0.3 | 1.2 | 1.2,3.6 | 0,Weight Gain,Maharashtrian,Thyroid,Veg,2400
Day 1,1291.5 kcal,59.3 g,157.5 g,49.4 g,28.7 g,Egg bhurji | Ragi Dosa,Fish Curry | Brown rice | Green salad,Wheat Roti | Bhindi Sabzi | Daal,Almonds | walnuts,Egg white,Apple | Cashew Nuts,Chickpea vegetable salad,1 one | 1.5 Dosa,1 Katori | 1.5 katori | 1 katori,1 roti | 1 Katori | 1 bowl,6 almond | 6 piece,boiled,1 piece | 6 Piece,1 katori,152 | 153,116 | 163.5 | 60,85 | 68 | 116,42 | 84,2 piece,48,82,4.8 | 32.4,2.4 | 34.2 | 2.8,17.4 | 7.1 | 18.7,1.8 | 1.2,34,88 | 1.8,12.5,7.6 | 3.3,15.5 | 3.6 | 1.4,3 | 1.8 | 7.2,1.8 | 1.8,0.4,20 | 1.8,3,11.9 | 1.05,4.9 | 1.35 | 4.8,0.4 | 3.7 | 1.4,3.6 | 8.4,7.2,0.3 | 4.2,2.5,1.3 | 3.3,0.2 | 1.5 | 1.7,2.7 | 3.1 | 3.1,1.2 | 1.2,0.4,0.8 | 0,4.6,Weight Loss,South Indian,Diabetes,Non Veg,1300
Day 2,1298 kcal,56.7 g,166.6 g,47.9 g,31.1 g,Upma,Cabbage sabzi | Wheat Roti | Carrot cucumber salad | Mix daal,Tomato cucumber raita | Soya chunk pulao,Muskmelon | Cashew Nuts,Peanut butter with whole wheat bread,Papaya | Almonds,Boiled Egg,1 katori,1 katori | 2 roti | 1 katori | 1 katori,1 katori | 1.5 katori,1 cup | 6 Piece,1 slice,1 cup | 6 almond,2 Egg,171,62 | 170 | 21 | 149,51 | 222,48,117,42,172,24.3,4.7 | 34.8 | 4.9 | 22.4,5.5 | 35.4,27 | 1.8,13,46 | 1.8,2,4.4,1.5 | 6 | 0.7 | 8.7,2.5 | 9.3,5.6 | 1.8,5.4,10.4 | 1.8,13.2,6.3,4.2 | 0.8 | 0.1 | 2.9,2.4 | 4.5,0.5 | 4.2,5.2,0.9 | 3.6,13.2,2.5,2.6 | 5.4 | 1.1 | 6,1.1 | 3.6,0.3 | 0,2.5,0.2 | 1.2,0,Weight Loss,South Indian,Diabetes,Non Veg,1300
Day 3,1269 kcal,54.55 g,161.25 g,52.6 g,25.65 g,Oats rava idli | Tomato peanut chutney,Tomato cucumber raita | Paneer Pulao,Stir fried mix vegetables | Ragi/nachni roti | Boiled Egg,walnuts | Mosambi,Moong beans boiled,Mosambi | Cashew Nuts,Roasted chana | Buttermilk,3 piece | 3 tbsp,1 katori | 1.5 Katori,1 katori | 1 roti | 1 Egg,6 piece | 1 piece,1 katori,1 piece | 4 Piece,0.5 katori | 1 glass,222 | 45,51 | 204,82 | 87 | 86,84 | 29,138,29 | 32,135 | 45,34.5 | 2.7,5.5 | 29.25,5.6 | 19.2 | 1,1.2 | 6.2,23.4,6.2 | 1.2,23 | 2.3,7.2 | 1.5,2.5 | 10.35,3.4 | 2 | 6.6,1.8 | 0.5,9.9,0.5 | 1.2,4.8 | 2.3,6.3 | 3.6,2.4 | 10.35,5.2 | 0.4 | 6.6,8.4 | 0.2,0.5,0.2 | 2.8,2.65 | 3,3 | 1.2,1.1 | 0.45,1.5 | 3.1 | 0,1.2 | 1.8,6.9,1.8 | 0,3.6 | 0,Weight Loss,South Indian,Diabetes,Non Veg,1300
Day 4,1292.5 kcal,65 g,141 g,54.7 g,23.75 g,Egg bhurji | Whole wheat bread,Wheat Roti | Chicken curry,Brown rice | Carrot cucumber salad | Drumstick sambhar,Almonds | walnuts,Boiled Egg,Fresh fruit salad,Sprouts,1 one | 2 slice,2 roti | 1 katori,1 katori | 1 katori | 1.5 katori,6 almond | 6 piece,2 Egg,1 katori,1 Katori,152 | 156,170 | 163,109 | 21 | 139.5,42 | 84,172,60,24,4.8 | 28.8,34.8 | 4.6,22.8 | 4.9 | 16.5,1.8 | 1.2,2,14,4.8,7.6 | 4,6 | 17.9,2.4 | 0.7 | 6.3,1.8 | 1.8,13.2,0.9,2.4,11.9 | 2,0.8 | 7.7,0.9 | 0.1 | 5.4,3.6 | 8.4,13.2,0.5,0.2,1.3 | 2.4,5.4 | 1.7,1 | 1.1 | 3.45,1.2 | 1.2,0,3.6,1.4,Weight Loss,South Indian,Diabetes,Non Veg,1300
Day 1,1678 kcal,78.75 g,204.95 g,62.6 g,41.9 g,Upma,Wheat Roti | Bhindi Sabzi | Buttermilk | Mix daal | Carrot cucumber salad,Chicken curry | Carrot tomato salad | Brown rice,Papaya | walnuts | Almonds,Egg white,Apple | Flax seeds | Cashew Nuts,Besan chilla | Dahi,2 katori,2 roti | 1 Katori | 1 glass | 1 katori | 1 katori,1 katori | 1 katori | 1 katori,1 cup | 6 piece | 6 almond,boiled,1 piece | 1 tbsp | 6 Piece,1 chilla | 0.5 katori,342,170 | 68 | 45 | 149 | 21,163 | 27 | 109,84 | 42,4 piece,55 | 48,108 | 45,48.6,34.8 | 7.1 | 2.3 | 22.4 | 4.9,4.6 | 5.4 | 22.8,46 | 1.2 | 1.8,68,88 | 3 | 1.8,10.8 | 2.25,8.8,6 | 1.8 | 2.3 | 8.7 | 0.7,17.9 | 0.9 | 2.4,10.4 | 1.8 | 1.8,0.8,20 | 1.9 | 1.8,4 | 2.35,12.6,0.8 | 3.7 | 3 | 2.9 | 0.1,7.7 | 0.2 | 0.9,0.9 | 8.4 | 3.6,14.4,0.3 | 4.4 | 4.2,5.3 | 3,5,5.4 | 3.1 | 0 | 6 | 1.1,1.7 | 2.5 | 1,0.2 | 1.2 | 1.2,0.8,0.8 | 2.8 | 0,2.3 | 0,Weight Gain,Maharashtrian,Thyroid,Non Veg,1700
Day 2,1694.5 kcal,77 g,213.25 g,63.25 g,42.3 g,Dahi | Stuffed Vegetable Paratha,Sprouts curry | Grilled paneer | Kheera tamatar salad | Brown rice,Paneer capsicum sabzi | Carrot cucumber salad | Wheat Roti,Plain oats | Cow milk | Pomegranate,Egg white,Pear | Almonds,Boiled sprouted chana,1 katori | 2 Piece,1 katori | 0.5 serving | 1 katori | 1 katori,1.5 katori | 1 katori | 2 roti,1 serving | 0.5 glass | 0.5 cup,boiled,1 piece | 4 almond,1 katori,90 | 242,104 | 143.5 | 15 | 109,198 | 21 | 170,112 | 84 | 72,4 piece,28,161,4.5 | 32.8,14.3 | 0.9 | 3.2 | 22.8,7.8 | 4.9 | 34.8,18.9 | 5.5 | 16.25,68,77 | 1.2,27,4.7 | 5.8,4.6 | 8.45 | 0.6 | 2.4,9 | 0.7 | 6,4.1 | 4 | 1.45,0.8,17.6 | 1.2,8.7,6 | 10,4.1 | 11.85 | 0.1 | 0.9,14.85 | 0.1 | 0.8,2.3 | 5.15 | 1,14.4,0.9 | 2.4,2.6,0 | 6.8,2.5 | 0.25 | 0.9 | 1,2.85 | 1.1 | 5.4,3.3 | 0 | 3.5,0.8,0.3 | 0.8,7.5,Weight Gain,Maharashtrian,Thyroid,Non Veg,1700
Day 3,1698 kcal,81.1 g,196.8 g,68.6 g,39.6 g,Dahi | Vegetable dalia,Bajra roti | Chicken curry | Green salad,Soya chunk pulao | Tomato cucumber raita,Oatmeal porridge | Pumpkin seeds,Boiled Egg,Coconut water | Almonds | Cashew Nuts,Carrot Soup | Makhana,1 katori | 2 katori,2 piece | 1 katori | 1 katori,1.5 katori | 1 katori,1 katori | 1 tbsp,2 Egg,1 piece | 6 almond | 6 Piece,1 Bowl | 1 katori,90 | 166,226 | 163 | 60,222 | 51,140 | 52,172,49 | 42 | 48,106 | 111,4.5 | 30.8,38.2 | 4.6 | 2.8,35.4 | 5.5,16.7 | 1.3,2,9.1 | 1.8 | 1.8,17.7 | 24.6,4.7 | 5.4,6.6 | 17.9 | 1.4,9.3 | 2.5,6.2 | 2.7,13.2,2.9 | 1.8 | 1.8,1.6 | 3.1,6 | 3.2,5.2 | 7.7 | 4.8,4.5 | 2.4,5.9 | 4.4,13.2,0.2 | 3.6 | 4.2,3.3 | 0,0 | 8,6.4 | 1.7 | 1.7,3.6 | 1.1,2 | 0.6,0,2.3 | 1.2 | 0,6.4 | 4.6,Weight Gain,Maharashtrian,Thyroid,Non Veg,1700
Day 4,1686 kcal,77.2 g,207.35 g,61.9 g,40.9 g,Dahi | Gobi matar paratha,Wheat Roti | Lobia sabzi | Buttermilk | Carrot tomato salad,Chicken drumstick gravy | Green salad | Brown rice,Mosambi | walnuts,Roasted chicken,Chia seeds | Pineapple | Cashew Nuts,Roasted chana,1 katori | 2 piece,2 roti | 1 katori | 1 glass | 1 katori,1 katori | 1 katori | 1 katori,1 piece | 6 piece,0.5 chicken,1 tbsp | 2 thin | 6 Piece,1 katori,90 | 294,170 | 114 | 45 | 27,140 | 60 | 109,29 | 84,107,47 | 52 | 48,270,4.5 | 41.4,34.8 | 16 | 2.3 | 5.4,5.2 | 2.8 | 22.8,6.2 | 1.2,0.65,4.1 | 12.2 | 1.8,46,4.7 | 9.2,6 | 6.7 | 2.3 | 0.9,13.7 | 1.4 | 2.4,0.5 | 1.8,14.2,1.6 | 0.4 | 1.8,9.6,6 | 10.2,0.8 | 2.7 | 3 | 0.2,7.1 | 4.8 | 0.9,0.2 | 8.4,4.9,3 | 0.2 | 4.2,5.3,0 | 9.2,5.4 | 2.4 | 0 | 2.5,1.9 | 1.7 | 1,1.8 | 1.2,0.1,3.3 | 3.2 | 0,7.2,Weight Gain,Maharashtrian,Thyroid,Non Veg,1700
Day 1,1201 kcal,56.7 g,129.2 g,52.4 g,28.8 g,Dhaniya pudina chutney | Besan chilla,Bhindi Sabzi | Daal | Nachni Bhakri | Beetroot Koshimbir,Chicken curry | Carrot tomato salad | Wheat Roti,Orange | Cashew Nuts,Boiled Egg,Pineapple,Sprouts Salad,2 tbsp | 1 chilla,1 Katori | 1 bowl | 2 Piece | 1 Katori,1 katori | 1 katori | 1 roti,1 piece | 4 Piece,2 Egg,2 thin,1 Katori,10 | 108,68 | 116 | 250 | 48,163 | 27 | 85,32,172,52,24,1.6 | 10.8,7.1 | 18.7 | 28.8 | 3.9,4.6 | 5.4 | 17.4,46 | 1.2,2,12.2,5,0.6 | 4,1.8 | 7.2 | 3 | 1.1,17.9 | 0.9 | 3,10.5 | 1.2,13.2,0.4,1.7,0.2 | 5.3,3.7 | 1.4 | 13.8 | 3.1,7.7 | 0.2 | 0.4,0.7 | 2.8,13.2,0.2,0.2,1 | 2.3,3.1 | 3.1 | 4.8 | 1.9,1.7 | 2.5 | 2.7,0.2 | 0,0,3.2,1.4,Weight Loss,Maharashtrian,None,Non Veg,1200
Day 2,1188.5 kcal,49.35 g,168.5 g,36.4 g,30.25 g,Egg Omelette | Wheat Roti,Soya chunk pulao | Tomato cucumber raita,Wheat Roti | Cabbage sabzi | Mix daal,Fresh fruit salad,Banana Milkshake,Almonds | Coconut water,Roasted peanuts,1 Piece | 1 roti,1 katori | 1 katori,2 roti | 1 katori | 1 katori,1 katori,1 Glass,4 almond | 1 piece,0.5 serving,104 | 85,148 | 51,170 | 62 | 149,60,197,28 | 49,85.5,2.5 | 17.4,23.6 | 5.5,34.8 | 4.7 | 22.4,14,29.3,1.2 | 9.1,4,6 | 3,6.2 | 2.5,6 | 1.5 | 8.7,0.9,6.5,1.2 | 2.9,3.95,8.1 | 0.4,3 | 2.4,0.8 | 4.2 | 2.9,0.5,5.5,2.4 | 0.2,6,0.4 | 2.7,2.4 | 1.1,5.4 | 2.6 | 6,3.6,1.3,0.8 | 2.3,1.65,Weight Loss,Maharashtrian,None,Non Veg,1200
Day 3,1196 kcal,57.55 g,173.5 g,31.65 g,24.25 g,Idli | Brinjal sambhar,Dahi Bhaat,Carrot tomato salad | Masooor Bhaji | Wheat Roti,Peanut butter with whole wheat bread,Boiled chicken,Fresh fruit salad | Almonds,Puffed Rice Chivda,2 idli | 1 katori,1.5 Katori,1 katori | 1 Katori | 1 roti,1 slice,0.5 katori,1 katori | 4 almond,1 Katori,156 | 117,201,27 | 189 | 85,117,78,60 | 28,138,30.2 | 15.9,31.8,5.4 | 24.7 | 17.4,13,0.1,14 | 1.2,19.8,5 | 5.5,5.55,0.9 | 8.5 | 3,5.4,18.4,0.9 | 1.2,3.2,1.8 | 3.5,5.7,0.2 | 6.4 | 0.4,5.2,0.45,0.5 | 2.4,5.1,0 | 3.2,0.9,2.5 | 5.6 | 2.7,2.5,0.05,3.6 | 0.8,2.4,Weight Loss,Maharashtrian,None,Non Veg,1200
Day 4,1202.5 kcal,56.4 g,144.55 g,46.55 g,29.75 g,Gobi matar paratha | Dahi,Wheat Roti | Fish Curry | Capsicum lettuce salad,Chana palak curry | Grilled paneer | Ragi/nachni roti,Cashew Nuts | Dates,Sprouts,Carrot beetroot juice | Soaked and peeled almonds | Chia seeds,Masala Toast Sandwich,1 piece | 0.5 katori,2 roti | 1 Katori | 1 katori,1 katori | 0.5 serving | 1 roti,4 Piece | 1 piece,1 Katori,1 glass | 6 almond | 1 tbsp,1 Piece,147 | 45,170 | 116 | 49,129 | 143.5 | 87,32 | 25,24,72 | 48 | 47,68,20.7 | 2.25,34.8 | 2.4 | 3.7,17.2 | 0.9 | 19.2,1.2 | 6.1,4.8,15.7 | 0.6 | 4.1,10.9,4.6 | 2.35,6 | 15.5 | 1.1,4.9 | 8.45 | 2,1.2 | 0.2,2.4,2.1 | 1.8 | 1.6,2.2,5.1 | 3,0.8 | 4.9 | 3.7,4.8 | 11.85 | 0.4,2.8 | 0,0.2,0 | 4.2 | 3,1.8,4.6 | 0,5.4 | 0.2 | 1.9,4.9 | 0.25 | 3.1,0 | 0.7,1.4,1 | 1.2 | 3.3,1.8,Weight Loss,Maharashtrian,None,Non Veg,1200
Day 1,2303 kcal,96.9 g,336.25 g,68.45 g,62.15 g,Egg Omelette | Wheat Roti,Daal | Carrot cucumber salad | Wheat Roti | Bhindi Sabzi | Dahi,Daal | Cabbage sabzi | Wheat Roti | Brown rice,Almonds | Cashew Nuts | Pomegranate,Egg white,Apple | walnuts | Flax seeds,Roasted chana,2 Piece | 3 roti,1 bowl | 1 katori | 3 roti | 1.5 Katori | 1 katori,1 bowl | 1 katori | 2 roti | 1 katori,6 almond | 6 Piece | 1 cup,boiled,1 piece | 6 piece | 1 tbsp,1 katori,208 | 255,116 | 21 | 255 | 102 | 90,116 | 62 | 170 | 109,42 | 48 | 144,4 piece,84 | 55,270,5 | 52.2,18.7 | 4.9 | 52.2 | 10.65 | 4.5,18.7 | 4.7 | 34.8 | 22.8,1.8 | 1.8 | 32.5,68,88 | 1.2 | 3,46,12 | 9,7.2 | 0.7 | 9 | 2.7 | 4.7,7.2 | 1.5 | 6 | 2.4,1.8 | 1.8 | 2.9,0.8,20 | 1.8 | 1.9,9.6,16.2 | 1.2,1.4 | 0.1 | 1.2 | 5.55 | 6,1.4 | 4.2 | 0.8 | 0.9,3.6 | 4.2 | 2,14.4,0.3 | 8.4 | 4.4,5.3,0.8 | 8.1,3.1 | 1.1 | 8.1 | 4.65 | 0,3.1 | 2.6 | 5.4 | 1,1.2 | 0 | 7,0.8,0.8 | 1.2 | 2.8,7.2,Weight Gain,North Indian,Thyroid,Non Veg,2300
